gene_id	scaffold	start	end	strand	product
PcrG000001	h1tg000001l	68458	77057	+	
PcrG000002	h1tg000001l	80928	82070	-	
PcrG000003	h1tg000001l	107756	108784	+	
PcrG000004	h1tg000001l	145134	176331	+	
PcrG000005	h1tg000001l	198706	216796	+	
PcrG000006	h1tg000001l	276706	281281	+	
PcrG000007	h1tg000001l	287605	311718	+	
PcrG000008	h1tg000001l	325103	337662	+	
PcrG000009	h1tg000001l	358579	359004	+	
PcrG000010	h1tg000001l	393974	397883	+	
PcrG000011	h1tg000001l	417458	435895	+	
PcrG000012	h1tg000001l	442034	442828	-	
PcrG000013	h1tg000001l	450604	470874	+	
PcrG000014	h1tg000001l	619897	621177	+	
PcrG000015	h1tg000001l	640883	660169	+	
PcrG000016	h1tg000001l	693944	696030	+	
PcrG000017	h1tg000001l	698439	699245	-	
PcrG000018	h1tg000001l	762981	766008	+	
PcrG000019	h1tg000001l	784257	788211	+	
PcrG000020	h1tg000001l	831441	846217	+	
PcrG000021	h1tg000001l	990528	1006408	-	
PcrG000022	h1tg000001l	1006619	1046028	+	
PcrG000023	h1tg000001l	1060119	1083500	+	
PcrG000024	h1tg000001l	1091468	1094808	+	
PcrG000025	h1tg000001l	1119295	1157448	+	
PcrG000026	h1tg000001l	1210004	1224116	+	
PcrG000027	h1tg000001l	1229933	1231492	+	
PcrG000028	h1tg000001l	1236464	1242087	-	
PcrG000029	h1tg000001l	1256150	1268056	+	
PcrG000030	h1tg000001l	1269980	1275811	+	
PcrG000031	h1tg000002l	2764	11340	-	
PcrG000032	h1tg000002l	14592	17146	+	
PcrG000033	h1tg000002l	74418	75425	+	
PcrG000034	h1tg000002l	109948	110874	+	
PcrG000035	h1tg000002l	120142	121161	+	
PcrG000036	h1tg000002l	133378	134373	+	
PcrG000037	h1tg000002l	161289	162308	+	
PcrG000038	h1tg000002l	174797	175810	-	
PcrG000039	h1tg000002l	230878	232767	+	
PcrG000040	h1tg000002l	247147	248094	-	
PcrG000041	h1tg000002l	296413	300214	+	
PcrG000042	h1tg000002l	303891	304790	-	
PcrG000043	h1tg000002l	310702	312183	-	
PcrG000044	h1tg000002l	344929	365986	+	
PcrG000045	h1tg000002l	412126	412524	-	
PcrG000046	h1tg000002l	412601	413011	-	
PcrG000047	h1tg000002l	445888	447372	-	
PcrG000048	h1tg000002l	473622	474344	+	
PcrG000049	h1tg000002l	476828	477817	-	
PcrG000050	h1tg000002l	522167	523064	-	
PcrG000051	h1tg000002l	573769	574647	-	
PcrG000052	h1tg000002l	581616	582694	+	
PcrG000053	h1tg000002l	589169	590008	-	
PcrG000054	h1tg000002l	597393	598349	-	
PcrG000055	h1tg000002l	600548	601471	-	
PcrG000056	h1tg000002l	636679	637632	-	
PcrG000057	h1tg000002l	675495	708939	-	
PcrG000058	h1tg000002l	709726	725770	+	
PcrG000059	h1tg000002l	732525	739816	-	
PcrG000060	h1tg000002l	741749	744226	+	
PcrG000061	h1tg000002l	751055	760483	-	
PcrG000062	h1tg000002l	783670	801045	-	
PcrG000063	h1tg000002l	810075	843233	+	
PcrG000064	h1tg000002l	845394	864906	+	
PcrG000065	h1tg000002l	869854	873284	+	
PcrG000066	h1tg000002l	874953	877229	+	
PcrG000067	h1tg000002l	883356	891301	-	
PcrG000068	h1tg000002l	905873	966640	+	
PcrG000069	h1tg000002l	974063	990373	-	
PcrG000070	h1tg000002l	994785	998204	-	
PcrG000071	h1tg000002l	999417	1003437	+	
PcrG000072	h1tg000002l	1009335	1012209	-	
PcrG000073	h1tg000002l	1012381	1017787	+	
PcrG000074	h1tg000002l	1048846	1089551	+	
PcrG000075	h1tg000002l	1120832	1122937	+	
PcrG000076	h1tg000002l	1133014	1151503	+	
PcrG000077	h1tg000002l	1153469	1159459	+	
PcrG000078	h1tg000002l	1161052	1169141	-	
PcrG000079	h1tg000002l	1338935	1341640	-	
PcrG000080	h1tg000002l	1344114	1348324	-	
PcrG000081	h1tg000002l	1355180	1356001	-	
PcrG000082	h1tg000002l	1368941	1370875	-	
